rental_id,vehicle_id,vehicle_make,vehicle_model,vehicle_year,vehicle_type,vehicle_registration,vehicle_odometer_reading,vehicle_in_use,customer_id,customer_name,customer_dob,customer_dl,customer_address,customer_phone,customer_email,employee_id,employee_name,employee_dob,employee_email,employee_ssn,employee_phone,employee_designation,rental_cost_per_hour,rental_pickuptime,rental_dropofftime,rental_fuel_option,rental_trip_cost,payment_id,payment_mode,payment_card_no,payment_ amount,payment_biller_name,payment_biller_addr,payment_timestamp
f357af38-efe8-4177-be7d-d507cae0bde0,66e62795-a61d-4f7c-ba12-79c0a239a3ae,BMW,BMW 4 Series,2018,Coupe,1-45634,55046,True,c7fe722d-1750-406f-8edb-789896518b38,Cynthia Richardson,1989-06-04,JHU052338,"15526 Johnson Loaf
Lake Lorimouth, DE 49972",6135026428,cynthia.richardson_486@yahoo.com,ab157d54-ae42-4f75-8b8f-23eef9673ed6,Jordan Knox,1982-08-25,jordan.knox_680@sennacars.com,047-61-2217,3892710314,Sales Agent,8.0,2024-01-06 16:10:46.465511,2024-01-07 20:10:46.465511,no,224.0,96f97163-ff0c-4bff-95eb-737dc07a1741,Credit Card,5293517684931478,268.8,Megan Donaldson,"900 David Mission Suite 565
South Michael, KS 40879",2024-01-06 22:59:38.465511
40ed9dcf-35c0-4c2c-b6bc-972741ce47d6,803fdb57-beb4-482c-ac95-7657b04085a0,Porsche,Porsche 911,2020,Convertible,398 ZNR,84328,True,f3f8b645-9f81-459c-947e-07191bcd9bca,Nicholas Lambert,2002-07-03,LEF525214,"57456 Small Spur Apt. 111
Jonesshire, MO 03669",6966656659,nicholas.lambert_471@example.com,b42c2bf7-e6ea-4e8e-9c65-3129a0774fc2,Paula Morgan,1995-02-26,paula.morgan_274@sennacars.com,250-91-6062,2372789069,Sales Agent,12.0,2023-10-21 06:01:36.455433,2023-10-22 14:01:36.455433,no,384.0,82b99fd6-a1da-403b-b147-5fcd99a7d4d4,Cash,,460.8,,,2023-10-21 11:52:51.455433
ca3860d2-2459-4630-a130-4fa5648979e3,94b8bb08-f4aa-4573-bf0c-f20d43b792ad,Volkswagen,Volkswagen Golf Alltrack,2021,Wagon,4Y T8222,198760,True,8cfdd9a1-b63a-450d-977d-3f228dd4f762,Vanessa Hensley,1953-08-23,VKA992237,"59670 Gloria Field Apt. 614
Jennifershire, NM 37142",4549933487,vanessa.hensley_692@google.com,055444d9-95b0-422a-9a41-d2b62e676574,Steven Ward,1991-07-17,steven.ward_357@sennacars.com,189-63-8461,6973063303,Manager,14.4,2024-03-22 12:29:07.970104,2024-03-23 03:29:07.970104,no,216.0,3b921489-42b0-4246-84f2-21ca1fa192e7,Cash,,259.2,,,2024-03-22 20:17:36.970104
14bd82fd-e107-4e13-94d1-2e2e02670ac1,014c106e-cc84-44ba-a445-7f1425eccf8c,Honda,Honda Civic,2019,Sedan,QY 5702,124063,False,c8387dd7-ec54-4d69-8c05-fb1a21fa2289,Rebecca Berry,1979-04-16,VPI369518,"32138 Susan Court Suite 183
Ginaville, NM 58340",8746697669,rebecca.berry_134@google.com,99820959-a550-4e75-8cd4-c79bca1ad663,Cynthia Moore MD,1977-12-02,cynthia.moore.md_246@sennacars.com,405-87-1586,6893757235,Clerk,8.8,2023-01-02 15:29:28.907355,2023-01-02 20:29:28.907355,yes,44.0,33bc6567-8505-4c86-8aa2-cb39ccf2bd7a,Debit Card,2255168213122404,52.8,Joy Ayers,"98527 John Crescent Apt. 516
Lake Brenda, PR 33688",2023-01-03 11:52:26.907355
6c54ef53-4b0a-4933-a3c9-7e07e5631b7a,75bb4aaf-b013-4b6b-9c7c-6ef243e5ffc7,BMW,BMW 3 Series,2016,Sedan,1NQ3015,99724,False,d25f06fb-eeaf-4443-b540-669bfbced8e5,Kyle Sims,1998-11-28,PZK328634,"5524 Patterson Lodge Apt. 076
Sheppardborough, TX 07703",6089969765,kyle.sims_148@google.com,471c9080-5183-4d3b-9cc6-0b63a8d0ae92,Jeremy Moore,1986-10-13,jeremy.moore_262@sennacars.com,623-44-7738,8947051341,Customer Service Representative,8.8,2023-06-29 15:12:19.776032,2023-07-01 03:12:19.776032,yes,316.8,60c681e9-6829-4399-bde2-bc7775b5efaf,Cash,,380.16,,,2023-06-29 18:40:21.776032
fdb9a1c5-f865-4b77-8358-3208060a644e,1245b3d4-51de-41d8-8389-9a2f4177aaa7,Jeep,Jeep Grand Cherokee,2018,SUV,8378 BH,60794,False,973b73b4-3aaa-4a14-ab62-f7bee1933260,Nicholas Clark,1990-01-25,HSM072639,"791 Dudley Summit
South Thomas, NM 46130",3262369173,nicholas.clark_253@yahoo.com,c2bff9d5-b54d-4d9d-a6f2-cc462870e226,Jacqueline Williams,1965-06-26,jacqueline.williams_373@sennacars.com,165-78-8692,0016469444,Sales Agent,11.0,2023-05-05 13:24:32.053716,2023-05-05 19:24:32.053716,yes,66.0,0aa204e0-a33f-4641-b1b7-57f20d1bb3d3,Debit Card,345758643799098,79.2,Alex Nguyen,"2633 Ethan Prairie Apt. 358
Martinezberg, TX 95316",2023-05-06 10:19:42.053716
6bb333d6-0cfe-4ce5-803a-aa9c7d7f3c31,dd6ac89a-0570-4e4a-9a68-b7b05998bf6d,Porsche,Porsche 911,2016,Convertible,942-BKQ,146901,False,4e17f91b-cb75-4c88-9e93-881e23ee8b9c,Brenda Hawkins,1984-11-19,OUN954521,"1077 Wallace Rest Apt. 504
New Terrenceview, AZ 18822",5667728788,brenda.hawkins_132@live.com,8ada433a-8c7c-4ac8-bfef-e4c47e772c32,Patrick Thompson,1995-08-28,patrick.thompson_946@sennacars.com,756-24-5438,0013072625,Sales Agent,12.0,2023-09-29 13:16:28.775978,2023-09-30 14:16:28.775978,no,300.0,8f342176-d981-4e14-9051-303eccbb35c0,Debit Card,503848347863,360.0,Crystal Franklin,"84379 Anthony Highway Suite 889
Port Kathryn, NV 98307",2023-09-29 18:23:37.775978
3f4bfa98-e32c-4975-9c99-f297b669a248,f6023e1e-6a1a-4e34-886a-66f88e3bff21,Chevrolet,Chevrolet Corvette,2017,Convertible,948 ZKB,199675,False,b4551f0c-cf94-441a-a51f-ee6186b8e841,Thomas Brewer,2004-05-06,YJZ025434,"94536 Johnson Club Suite 903
Donnaborough, ME 43959",+161225763,thomas.brewer_784@live.com,08db1513-aa2e-4606-b071-352e28f2e6e9,Tyrone Barnes,1962-08-23,tyrone.barnes_421@sennacars.com,594-76-6663,4085045118,Clerk,16.5,2023-09-20 06:32:02.293371,2023-09-21 05:32:02.293371,yes,379.5,bb95d9c0-88d6-4e6c-bd99-a4bc381c3e2d,Cash,,455.4,,,2023-09-20 06:50:13.293371
261bd44e-2f68-4434-8809-86aba7277d41,9becee6a-b45b-4743-ae69-4a3b809a4642,Volkswagen,Volkswagen Golf Alltrack,2016,Wagon,80-05568,7567,True,79691b9b-eed0-4e2c-8890-7a1f68f73c1a,Mr. Zachary Atkins,2005-10-20,WGP391422,"2428 Murray Harbors Suite 501
Joshuaview, HI 32177",2816531398,mr..zachary.atkins_993@yahoo.com,ab4eadc8-292c-4154-85b9-96daf8e8787a,Jose Kelly,1977-09-03,jose.kelly_642@sennacars.com,796-44-5615,4763747689,Manager,14.4,2023-06-01 14:07:11.273726,2023-06-03 09:07:11.273726,no,619.2,74e70c48-d504-4614-8950-33ecf1e29eec,Cash,,743.04,,,2023-06-02 12:36:48.273726
b188a4af-8825-49f4-bd7f-baed7046bff7,7e698691-6a14-432c-95c6-f0c3dc34d2ac,Jeep,Jeep Wrangler,2020,Offroad,2X U4595,172151,False,78672fb6-b5ee-465e-8303-c6dbfd2bf45a,Cody Thompson,1989-11-03,NPB359519,"2862 Patrick Motorway
North Andrewmouth, IL 83742",5083926686,cody.thompson_968@hotmail.com,1d10e833-c142-4d1d-aedd-a1903fd5dc8a,Adam Gaines,2000-08-18,adam.gaines_511@sennacars.com,048-35-7747,9883093464,Assistant Manager,12.0,2023-06-19 07:30:39.517580,2023-06-20 02:30:39.517580,no,228.0,94d8c1b6-ce52-4fbc-88cf-1d0cf1e644db,Cash,,273.6,,,2023-06-19 09:03:05.517580
